product_url,category_url,scraping_date,scraping_time,title,presentation,full_price,final_price
https://www.drogueriascolsubsidio.com/gaviscon-doble-accion-sachet-sabor-menta-7702626211770/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,GAVISCON DOBLE ACCION SACHET SABOR MENTA,CAJA X 12 SACHET,0,25400.0
https://www.drogueriascolsubsidio.com/abrilar-07-g100-ml-jarabe-4104480705151/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,ABRILAR 0.7 G/100 ML JARABE,FRASCO X 100 ML,0,29800.0
https://www.drogueriascolsubsidio.com/dolex-forte-nf-500-mg65-mg-tableta-recubierta-7703363005462/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,DOLEX FORTE NF 500 MG/65 MG TABLETA RECUBIERTA,CAJA X 14 TAB,0,19900.0
https://www.drogueriascolsubsidio.com/enterogermina-suspension-oral-3582910009900/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,ENTEROGERMINA SUSPENSION ORAL,CAJA X 10 UN,0,47360.0
https://www.drogueriascolsubsidio.com/smecta-3-g-polvo-para-suspension-oral-7702207188620/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,SMECTA 3 G POLVO PARA SUSPENSION ORAL,BLISTER X 1 UN,0,6335.0
https://www.drogueriascolsubsidio.com/gestavit-dha-multivitaminico-capsula-blanda-con-cubierta-enterica-7703153022693/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,GESTAVIT DHA MULTIVITAMINICO CAPSULA BLANDA CON CUBIERTA ENTERICA,CAJA X 30 CAP,0,69250.0
https://www.drogueriascolsubsidio.com/sun-face-gel-7707327210015/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,SUN FACE GEL,TUBO X 70 G,0,73750.0
https://www.drogueriascolsubsidio.com/engystol-tableta-7707336720598/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-11,19:28:14,ENGYSTOL TABLETA,FRASCO X 50 TAB,0,49360.0
https://www.drogueriascolsubsidio.com/congestex-ultra-gripa-tableta-7703546033206/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,CONGESTEX ULTRA GRIPA TABLETA,BLISTER X 4 TAB,0,4863.0
https://www.drogueriascolsubsidio.com/cronofen-l-150-mg5-ml-jarabe-7703546033107/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,CRONOFEN L 150 MG/5 ML JARABE,FRASCO X 100 ML,0,13250.0
https://www.drogueriascolsubsidio.com/pedialyte-max-60-con-zinc-uva-solucion-oral-7501033957376/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,PEDIALYTE MAX 60 CON ZINC UVA SOLUCION ORAL,FRASCO X 500 ML,6450.0,5482.0
https://www.drogueriascolsubsidio.com/acetaminofen-500mg-tableta-recubierta-7702057858858/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,ACETAMINOFEN 500MG TABLETA RECUBIERTA,FRASCO X 24 TAB,0,17400.0
https://www.drogueriascolsubsidio.com/multiflora-plus-capsula-5027314503701/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,MULTIFLORA PLUS CAPSULA,CAJA X 30 CAP,119750.0,83825.0
https://www.drogueriascolsubsidio.com/7707270363738protexalgodon-curas-gasas-y-vendasmedicamentosgasa-aseptica-1x5-yardas-medispogasas-gaza-gazas-compresas-esteriles-compresa-compresas-7707270363738/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-11,19:28:51,GASA ASEPTICA 1X5 YARDAS MEDISPO,UNIDAD,0,7200.0
