product_url,category_url,scraping_date,scraping_time,title,productBrand,full_price,final_price
https://www.drogueriascafam.com.co/dermocosmetica/8459-comprar-en-cafam-brujesin-termoactivo-en-locion-frasco-con-80-ml-precio-7709990356175.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Brujesin Termoactivo En Loción Frasco Con...,Colvenfar S.A.S.,0,24200
https://www.drogueriascafam.com.co/dermocosmetica/4227-comprar-en-cafam-frex-clean-t-caja-con-frasco-con-80-ml-y-100-gasas-precio-770729095129.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Frex Clean T Caja Con Frasco Con 80 mL Y...,Laboratorios Bussié S.A.,101700,86445
https://www.drogueriascafam.com.co/cuidado-visual/1370-comprar-en-cafam-systane-ultra-solucion-oftalmica-caja-con-frasco-con-10-ml-precio-300651431483.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Systane Ultra Solución Oftálmica Caja Con...,Alcon,39400,31520
https://www.drogueriascafam.com.co/no-formulados/4440-comprar-en-cafam-gynocanesten-2-crema-vaginal-tubo-con-20-g-precio-7702123003243.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Gynocanesten 2% Crema Vaginal Tubo Con 20 g,Bayer S.A.,30250,24200
https://www.drogueriascafam.com.co/cuidado-respiratorio/9003-comprar-en-cafam-afrisal-solucion-salina-065-caja-con-frasco-con-30-ml-precio-7702123008590.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Afrisal Solución Salina 065% Caja Con...,Bayer S.A.,0,28050
https://www.drogueriascafam.com.co/bloqueadores-solares/6967-comprar-en-cafam-protector-solar-sunaid-plus-spf-50-caja-con-frasco-con-100-g-precio-7707206270208.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Protector Solar Sunaid Plus SPF 50+ Caja...,Laboratorios Novaderma S.A.,0,120299
https://www.drogueriascafam.com.co/dermatologicos/3059-comprar-en-cafam-cetaphil-gentle-cleansing-caja-con-127g-precio-302993923046.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Cetaphil Gentle Cleansing Caja Con 127g,Galderma S.A.,35950,28760
https://www.drogueriascafam.com.co/cuidado-visual/1782-comprar-en-cafam-labsoft-lubricante-visual-05-caja-con-frasco-con-15-ml-precio-7707372340019.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Labsoft Lubricante Visual 05 % Caja Con...,ILAB,0,48700
https://www.drogueriascafam.com.co/nutricionales/6018-comprar-en-cafam-vita-c-zinc-sabor-a-naranja-dos-cajas-con-10-tabletas-precio-7702057701536.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Vita C + Zinc Sabor A Naranja Dos Cajas Con...,Tecnoquímicas S.A.,0,24900
https://www.drogueriascafam.com.co/menopausia-y-osteoporosis/8540-comprar-en-cafam-calcibon-d-promocion-caja-con-60-tabletas-30-tabletas-precio-7703454123174.html,https://www.drogueriascafam.com.co/5--medicamentos?p=0,2021-10-14,19:00:34,Calcibon D Promoción Caja Con 60 Tabletas +...,Farma De Colombia S.A.,85250,68200
