product_url,category_url,scraping_date,scraping_time,title,presentation,full_price,final_price
https://www.drogueriascolsubsidio.com/gaviscon-doble-accion-sachet-sabor-menta-7702626211770/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,GAVISCON DOBLE ACCION SACHET SABOR MENTA,CAJA X 12 SACHET,0,25400.0
https://www.drogueriascolsubsidio.com/abrilar-07-g100-ml-jarabe-4104480705151/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,ABRILAR 0.7 G/100 ML JARABE,FRASCO X 100 ML,0,26820.0
https://www.drogueriascolsubsidio.com/enterogermina-suspension-oral-3582910009900/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,ENTEROGERMINA SUSPENSION ORAL,CAJA X 10 UN,0,47360.0
https://www.drogueriascolsubsidio.com/dolex-forte-nf-500-mg65-mg-tableta-recubierta-7703363005462/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,DOLEX FORTE NF 500 MG/65 MG TABLETA RECUBIERTA,CAJA X 14 TAB,0,19900.0
https://www.drogueriascolsubsidio.com/engystol-tableta-7707336720598/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,ENGYSTOL TABLETA,FRASCO X 50 TAB,0,52445.0
https://www.drogueriascolsubsidio.com/gestavit-dha-multivitaminico-capsula-blanda-con-cubierta-enterica-7703153022693/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,GESTAVIT DHA MULTIVITAMINICO CAPSULA BLANDA CON CUBIERTA ENTERICA,CAJA X 30 CAP,0,58862.0
https://www.drogueriascolsubsidio.com/smecta-3-g-polvo-para-suspension-oral-7702207188620/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,SMECTA 3 G POLVO PARA SUSPENSION ORAL,BLISTER X 1 UN,0,6335.0
https://www.drogueriascolsubsidio.com/sun-face-gel-7707327210015/p,https://www.drogueriascolsubsidio.com/medicamentos,2021-10-15,23:01:15,SUN FACE GEL,TUBO X 70 G,0,62687.0
https://www.drogueriascolsubsidio.com/esparadrapo-impermeable-blanco-50mm-x-3m-nexcare-7891040090570/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ESPARADRAPO IMPERMEABLE BLANCO 50MM X 3M NEXCARE,UNIDAD,0,13350.0
https://www.drogueriascolsubsidio.com/venda-elastica-color-piel-6x5-yardas-7707228360765/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,VENDA ELASTICA COLOR PIEL 6X5 YARDAS,UNIDAD,0,4900.0
https://www.drogueriascolsubsidio.com/tonimer-spray-soft-8033224818207/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,TONIMER SPRAY SOFT,FRASCO X 125 ML,68200.0,57970.0
https://www.drogueriascolsubsidio.com/alfasafe-venda-fija-blanca-4-x-22m-7707228360833/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ALFASAFE VENDA FIJA BLANCA 4 X 2.2M,UNIDAD,0,3900.0
https://www.drogueriascolsubsidio.com/alfasafe-venda-fija-blanca-3-x-22m-7707228360819/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ALFASAFE VENDA FIJA BLANCA 3 X 2.2M,UNIDAD,0,3400.0
https://www.drogueriascolsubsidio.com/oferta-forz-sport-linimento--frasco-x-80ml-7707210530855/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,OFERTA FORZ SPORT LINIMENTO + FRASCO X 80ML,FRASCO X 200 ML,54850.0,38395.0
https://www.drogueriascolsubsidio.com/dristancito-nf-ninos-tableta-masticable-7702132011529/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,DRISTANCITO NF NIÑOS TABLETA MASTICABLE,CAJA X 6 TAB,0,15950.0
https://www.drogueriascolsubsidio.com/robitussin-forte-capsula-blanda-7702132010799/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ROBITUSSIN FORTE CAPSULA BLANDA,CAJA X 10 CAP,0,13300.0
https://www.drogueriascolsubsidio.com/allerzitina-065-spray-nasal-7702870099810/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ALLERZITINA 0.65% SPRAY NASAL,FRASCO X 30 ML,0,24250.0
https://www.drogueriascolsubsidio.com/benzirin-verde-3mg-tableta-masticable-sabor-eucalipto-7702057012397/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,BENZIRIN VERDE 3MG TABLETA MASTICABLE SABOR EUCALIPTO,CAJA X 12 TAB,0,19350.0
https://www.drogueriascolsubsidio.com/curas-para-el-talon-nexcare-51141994956/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,CURAS PARA EL TALON NEXCARE,UNIDAD,0,13650.0
https://www.drogueriascolsubsidio.com/cureband-premium-curas-ninos-dc-super-friends-7702057645632/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,CUREBAND PREMIUM CURAS NIÑOS DC SUPER FRIENDS,CAJA X 25 UN,0,10650.0
https://www.drogueriascolsubsidio.com/venda-elastica-rollo-x-4-pulgadas-7703010130035/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,VENDA ELASTICA ROLLO X 4 PULGADAS,UNIDAD,0,2400.0
https://www.drogueriascolsubsidio.com/7702870999370lafrancoldescongestionantesmedicamentosallerzitina-10-mg-tableta-masticable-sabor-fresacetirizina-diclorhidrato-7702870999370/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ALLERZITINA 10 MG TABLETA MASTICABLE SABOR FRESA,CAJA X 10 TAB,0,26250.0
https://www.drogueriascolsubsidio.com/curas-surtidas-soft-nexcare-51131995260/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,CURAS SURTIDAS SOFT NEXCARE,CAJA X 30 UN,0,8300.0
https://www.drogueriascolsubsidio.com/multiflora-plus-capsula-5027314503701/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,MULTIFLORA PLUS CAPSULA,CAJA X 30 CAP,119750.0,83825.0
https://www.drogueriascolsubsidio.com/multiflora-1-g-polvo-5027314503671/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,MULTIFLORA 1 G POLVO,CAJA X 14 SACHET,91300.0,63910.0
https://www.drogueriascolsubsidio.com/768455106707boston-medicalalgodon-curas-gasas-y-vendasmedicamentosduoderm-cgf-20cm-x-30-cm-768455106707/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,DUODERM CGF 20CM X 30 CM,BLISTER X 1 UN,155080.0,131818.0
https://www.drogueriascolsubsidio.com/congestex-ultra-gripa-tableta-7703546033206/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,CONGESTEX ULTRA GRIPA TABLETA,BLISTER X 4 TAB,0,4863.0
https://www.drogueriascolsubsidio.com/cronofen-l-150-mg5-ml-jarabe-7703546033107/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,CRONOFEN L 150 MG/5 ML JARABE,FRASCO X 100 ML,0,13250.0
https://www.drogueriascolsubsidio.com/pedialyte-max-60-con-zinc-uva-solucion-oral-7501033957376/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,PEDIALYTE MAX 60 CON ZINC UVA SOLUCION ORAL,FRASCO X 500 ML,6450.0,5482.0
https://www.drogueriascolsubsidio.com/acetaminofen-500mg-tableta-recubierta-7702057858858/p,https://www.drogueriascolsubsidio.com/medicamentos/venta-libre,2021-10-15,23:01:54,ACETAMINOFEN 500MG TABLETA RECUBIERTA,FRASCO X 24 TAB,0,17400.0
